"Parameter.ID","Parameter.Label","Columns","True Number of Groups","Method","Statistic","Determined Number of Groups","RunTime"
3,"Closer still, diag cov varied scale",10,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",1000,2,"mclustBootstrapLRT: EII","p-value: 0.001",">1","3.4373s"
3,"Closer still, diag cov varied scale",100,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",100,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",500,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",100,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,3,"mclustBootstrapLRT: EII","p-value: 0.4545","1","0.3393s"
5,"High overlap, full covariance + correlation",1000,1,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","0.4799s"
1,"Well-separated means, identity cov",100,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","0.7004s"
1,"Well-separated means, identity cov",500,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","4.8133s"
1,"Well-separated means, identity cov",1000,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","3.7532s"
2,"Closer means, identity cov",10,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",100,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","1.5865s"
2,"Closer means, identity cov",500,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",1000,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","8.2843s"
3,"Closer still, diag cov varied scale",10,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
1,"Well-separated means, identity cov",100,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","1.0774s"
3,"Closer still, diag cov varied scale",100,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","4.9284s"
4,"Full covariance, small overlap",100,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","0.7487s"
4,"Full covariance, small overlap",500,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,2,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","12.1711s"
5,"High overlap, full covariance + correlation",10,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",100,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
1,"Well-separated means, identity cov",500,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","2.7493s"
5,"High overlap, full covariance + correlation",1000,2,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,3,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","478.9894s"
1,"Well-separated means, identity cov",100,3,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","0.6216s"
1,"Well-separated means, identity cov",500,3,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","1.2416s"
1,"Well-separated means, identity cov",1000,3,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","1.6861s"
2,"Closer means, identity cov",100,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",500,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",1000,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",10,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
1,"Well-separated means, identity cov",1000,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","3.7065s"
3,"Closer still, diag cov varied scale",100,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",100,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",500,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",100,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",10,3,"mclustBootstrapLRT: EII","p-value: 0.1439","1","0.3863s"
5,"High overlap, full covariance + correlation",1000,3,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,4,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","1046.3259s"
1,"Well-separated means, identity cov",100,4,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","1.742s"
1,"Well-separated means, identity cov",500,4,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","1.2561s"
1,"Well-separated means, identity cov",1000,4,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","9.6456s"
2,"Closer means, identity cov",10,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",100,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",500,4,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","1.2856s"
2,"Closer means, identity cov",1000,4,"mclustBootstrapLRT: VVI","p-value: 0.001",">1","3.7283s"
3,"Closer still, diag cov varied scale",10,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",100,3,"mclustBootstrapLRT: EII","p-value: 0.029",">1","1.532s"
3,"Closer still, diag cov varied scale",100,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,4,"mclustBootstrapLRT: VVI","p-value: 0.002",">1","8.7285s"
4,"Full covariance, small overlap",100,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",500,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",100,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
2,"Closer means, identity cov",500,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","3.8256s"
5,"High overlap, full covariance + correlation",1000,4,"mclustBootstrapLRT: VVI","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,1,"mclustBootstrapLRT: EEE","p-value: 0.8831","1","0.3554s"
1,"Well-separated means, identity cov",100,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.1981s"
1,"Well-separated means, identity cov",500,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","3.6071s"
1,"Well-separated means, identity cov",1000,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","7.0977s"
2,"Closer means, identity cov",100,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","7.6861s"
2,"Closer means, identity cov",500,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","4.0304s"
2,"Closer means, identity cov",1000,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","6.8892s"
3,"Closer still, diag cov varied scale",10,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3602s"
2,"Closer means, identity cov",1000,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","1.9674s"
3,"Closer still, diag cov varied scale",100,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.5832s"
3,"Closer still, diag cov varied scale",500,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","6.6625s"
3,"Closer still, diag cov varied scale",1000,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","12.6816s"
4,"Full covariance, small overlap",10,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3557s"
4,"Full covariance, small overlap",100,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","2.0549s"
4,"Full covariance, small overlap",500,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","3.2365s"
4,"Full covariance, small overlap",1000,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","48.0574s"
5,"High overlap, full covariance + correlation",10,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.36s"
5,"High overlap, full covariance + correlation",100,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.6508s"
5,"High overlap, full covariance + correlation",500,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","3.9955s"
3,"Closer still, diag cov varied scale",10,3,"mclustBootstrapLRT: EII","p-value: 0.012",">1","0.336s"
1,"Well-separated means, identity cov",1000,1,"mclustBootstrapLRT: EII","p-value: 1","1","1.1644s"
5,"High overlap, full covariance + correlation",1000,1,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","9.9279s"
1,"Well-separated means, identity cov",10,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3619s"
1,"Well-separated means, identity cov",100,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.6835s"
1,"Well-separated means, identity cov",500,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","9.1141s"
1,"Well-separated means, identity cov",1000,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","21.2894s"
2,"Closer means, identity cov",100,2,"mclustBootstrapLRT: EEE","p-value: NA","NA",NA
2,"Closer means, identity cov",500,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","22.6699s"
2,"Closer means, identity cov",1000,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","435.1663s"
3,"Closer still, diag cov varied scale",10,2,"mclustBootstrapLRT: EEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",100,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","1.6371s"
3,"Closer still, diag cov varied scale",100,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","2.0418s"
3,"Closer still, diag cov varied scale",500,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","11.3914s"
3,"Closer still, diag cov varied scale",1000,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","29.8755s"
4,"Full covariance, small overlap",10,2,"mclustBootstrapLRT: EEE","p-value: 0.024",">1","0.3571s"
4,"Full covariance, small overlap",100,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","2.1879s"
4,"Full covariance, small overlap",500,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","8.5385s"
4,"Full covariance, small overlap",1000,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","4.6724s"
5,"High overlap, full covariance + correlation",10,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3493s"
5,"High overlap, full covariance + correlation",100,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.9547s"
5,"High overlap, full covariance + correlation",500,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","4.5131s"
3,"Closer still, diag cov varied scale",500,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","4.766s"
5,"High overlap, full covariance + correlation",1000,2,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","4.8969s"
1,"Well-separated means, identity cov",10,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3715s"
1,"Well-separated means, identity cov",100,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.4822s"
1,"Well-separated means, identity cov",500,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","6.8507s"
1,"Well-separated means, identity cov",1000,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","11.8618s"
2,"Closer means, identity cov",10,3,"mclustBootstrapLRT: EEE","p-value: NA","NA",NA
2,"Closer means, identity cov",100,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.146s"
2,"Closer means, identity cov",500,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","4.2583s"
2,"Closer means, identity cov",1000,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","2.4927s"
3,"Closer still, diag cov varied scale",1000,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","2.2499s"
3,"Closer still, diag cov varied scale",100,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","2.0544s"
3,"Closer still, diag cov varied scale",500,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","4.2535s"
3,"Closer still, diag cov varied scale",1000,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","16.2549s"
4,"Full covariance, small overlap",10,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.4895s"
4,"Full covariance, small overlap",100,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.548s"
4,"Full covariance, small overlap",500,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","10.2465s"
4,"Full covariance, small overlap",1000,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","17.8475s"
5,"High overlap, full covariance + correlation",10,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3582s"
5,"High overlap, full covariance + correlation",100,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.1933s"
5,"High overlap, full covariance + correlation",500,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","6.2114s"
4,"Full covariance, small overlap",10,3,"mclustBootstrapLRT: EII","p-value: 0.2478","1","0.3181s"
5,"High overlap, full covariance + correlation",1000,3,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","2.4686s"
1,"Well-separated means, identity cov",10,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.36s"
1,"Well-separated means, identity cov",100,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.4405s"
1,"Well-separated means, identity cov",500,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","7.9763s"
1,"Well-separated means, identity cov",1000,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","14.399s"
2,"Closer means, identity cov",10,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3656s"
2,"Closer means, identity cov",100,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.9913s"
2,"Closer means, identity cov",500,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","12.3967s"
2,"Closer means, identity cov",1000,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","23.804s"
4,"Full covariance, small overlap",100,3,"mclustBootstrapLRT: EII","p-value: 0.4486","1","1.1717s"
3,"Closer still, diag cov varied scale",100,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","1.6081s"
3,"Closer still, diag cov varied scale",500,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","19.2224s"
3,"Closer still, diag cov varied scale",1000,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","13.0204s"
4,"Full covariance, small overlap",10,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3588s"
4,"Full covariance, small overlap",100,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","2.0201s"
4,"Full covariance, small overlap",500,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","5.8793s"
4,"Full covariance, small overlap",1000,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","26.7596s"
5,"High overlap, full covariance + correlation",10,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.3689s"
5,"High overlap, full covariance + correlation",100,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","0.9831s"
5,"High overlap, full covariance + correlation",500,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","3.6727s"
4,"Full covariance, small overlap",500,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","3.6328s"
5,"High overlap, full covariance + correlation",1000,4,"mclustBootstrapLRT: EEE","p-value: 0.001",">1","9.8482s"
1,"Well-separated means, identity cov",10,1,"mclustBootstrapLRT: VEE","p-value: 0.037",">1","0.8102s"
1,"Well-separated means, identity cov",100,1,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","1.7945s"
1,"Well-separated means, identity cov",500,1,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","4.7981s"
1,"Well-separated means, identity cov",1000,1,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","5.2495s"
2,"Closer means, identity cov",10,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
2,"Closer means, identity cov",100,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
2,"Closer means, identity cov",500,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
2,"Closer means, identity cov",1000,1,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","6.2438s"
3,"Closer still, diag cov varied scale",10,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","3.3888s"
3,"Closer still, diag cov varied scale",100,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,1,"mclustBootstrapLRT: VEE","p-value: 0.1269","1","0.921s"
4,"Full covariance, small overlap",100,1,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","2.0555s"
4,"Full covariance, small overlap",500,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",100,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,3,"mclustBootstrapLRT: EII","p-value: 0.022",">1","0.3209s"
5,"High overlap, full covariance + correlation",1000,1,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,2,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","3.1704s"
1,"Well-separated means, identity cov",100,2,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","1.183s"
1,"Well-separated means, identity cov",500,2,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","3.8583s"
1,"Well-separated means, identity cov",1000,2,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","15.0442s"
2,"Closer means, identity cov",10,2,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","14.4986s"
2,"Closer means, identity cov",500,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
2,"Closer means, identity cov",1000,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",10,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",100,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","1.1487s"
3,"Closer still, diag cov varied scale",100,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,2,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","0.5985s"
4,"Full covariance, small overlap",100,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",500,2,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","6.6263s"
4,"Full covariance, small overlap",1000,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,2,"mclustBootstrapLRT: VEE","p-value: 0.002",">1","1.5117s"
5,"High overlap, full covariance + correlation",100,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","1.1252s"
2,"Closer means, identity cov",10,1,"mclustBootstrapLRT: EII","p-value: 0.04",">1","0.3489s"
5,"High overlap, full covariance + correlation",1000,2,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,3,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","1.6155s"
1,"Well-separated means, identity cov",100,3,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","1.1198s"
1,"Well-separated means, identity cov",500,3,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","3.0823s"
1,"Well-separated means, identity cov",1000,3,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","11.9349s"
2,"Closer means, identity cov",100,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
2,"Closer means, identity cov",500,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
2,"Closer means, identity cov",1000,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",10,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",1000,3,"mclustBootstrapLRT: EII","p-value: 0.001",">1","44.1712s"
3,"Closer still, diag cov varied scale",100,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",100,3,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","1.1085s"
4,"Full covariance, small overlap",500,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,4,"mclustBootstrapLRT: EII","p-value: 0.5295","1","0.3566s"
5,"High overlap, full covariance + correlation",1000,3,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,4,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","27.1064s"
1,"Well-separated means, identity cov",100,4,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","1.3816s"
1,"Well-separated means, identity cov",500,4,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","2.6488s"
1,"Well-separated means, identity cov",1000,4,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","10.5916s"
2,"Closer means, identity cov",10,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
2,"Closer means, identity cov",100,4,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","1.6125s"
2,"Closer means, identity cov",500,4,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","3.4461s"
2,"Closer means, identity cov",1000,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",10,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",100,4,"mclustBootstrapLRT: EII","p-value: 0.001",">1","1.1209s"
3,"Closer still, diag cov varied scale",100,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",100,4,"mclustBootstrapLRT: VEE","p-value: 0.001",">1","1.2862s"
4,"Full covariance, small overlap",500,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",100,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",500,4,"mclustBootstrapLRT: EII","p-value: 0.2537","1","3.0111s"
5,"High overlap, full covariance + correlation",1000,4,"mclustBootstrapLRT: VEE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",100,1,"mclustBootstrapLRT: EVE","p-value: 0.001",">1","1.8801s"
1,"Well-separated means, identity cov",500,1,"mclustBootstrapLRT: EVE","p-value: 0.001",">1","2011.8683s"
1,"Well-separated means, identity cov",1000,1,"mclustBootstrapLRT: EVE","p-value: 0.001",">1","8.226s"
2,"Closer means, identity cov",100,1,"mclustBootstrapLRT: EVE","p-value: 0.001",">1","2.6887s"
2,"Closer means, identity cov",500,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
2,"Closer means, identity cov",1000,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",10,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
1,"Well-separated means, identity cov",1000,4,"mclustBootstrapLRT: EII","p-value: 0.001",">1","19.8513s"
3,"Closer still, diag cov varied scale",100,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
4,"Full covariance, small overlap",100,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
4,"Full covariance, small overlap",500,1,"mclustBootstrapLRT: EVE","p-value: NA","NA",NA
